Provider Name,Provider Type,Cost Year,First Mortgage,Second Mortgage,Third Mortgage,Fourth Mortgage,CHEFA Interest Expense,Movable Equip Automotive Equip,Movable Equip Lender Other CCNH,Total Movable Equip Interest,Other Interest Expense,Total All Interest Expense,Total Building Interest Expense,Laundry In House Processing LBS,Laundry In House Processing Amt $,Laundry Employee Items LBS,Laundry Employee Items Amt $,Personal Clothing LBS,Personal Clothing Amt $,Repair Purchase Linens LBS,Repair Purchase Linens Amt $,Purchased Services,Mgt Services,Other Laundry,Total Laundry Expenditures,Repair and Maintenance,Heat,Light and Power,Water,Equipment Lease,Other Maintenance,Total Maint and Operating Expense,Depreciation Land Improvements,Depreciation Building Improvements,Depreciation Non Movable Equip,Depreciation Movable Equip,Total Depreciation Costs,Amortization Organization Expense,Amortization Mortgage Expense,Amortization Leasehold Improve,Amortization Other,Total Amortization Costs,Property Rental,Property Tax by Owner,Property Tax by Lessor,Personal Property Tax,Total Property Expenses,Res Care RX Own Pharmacy,Res Care Purchased from Omi Care CCNH,Res Care Med Cabinet Drugs,Res Care Med and Therapeutic Supplies,Res Care Ambulance Limousine,Res Care Emergency Oxygen Use,Res Care Other Oxygen,Res Care Xray and Related Procedures,Res Care Dental,Res Care Laboratory,Res Care Recreation,Res Care Other,Management Fee Direct,Total Res Care Expenditures,Bed Capacity Previous Report,Bed Capacity This Report,Number of Res Previous Report,Number of Res This Report,Medicare,Medicaid CT,Medicaid Other States,Private Pay,State SSI for RCH,Care Days Other,Total Care Days,Medicaid Reserve Bed Days,Other Reserve Bed Days,Total Resident Days,Total number of PT Treatments Medicaid Part B,Total number of PT Treatments Medicaid Maintenance Treatments,Total number of PT Treatments Restorative Treatments,Total number of PT Treatments Other,Total PT Treatments,Total number of ST Treatments Medicaid Part B,Total number of ST Treatments Medicaid Maintenance Treatments,Total number of ST Treatments Medicaid Restorative Treatments,Total number of ST Treatments Other,Total ST Treatments,Total number of OT Treatments Medicaid Part B,Total number of OT Treatments Medicaid Maintenance Treatments,Total number of OT Treatments Medicaid Restorative Treatments,Total number of OT Treatments Other,Total OT Treatments,Res Room Board Care Rev Medicaid Res CT only,Medicaid Room and Board Contractual Allowance,Res Room Board Care Rev Medicaid All Other States,Other States Room and Board Contracutal Allowance,Medicare,Medicare Room and Board Contractual Allowance,Res Room Board Care Rev Private Pay Res and Other,Private Pay Room and Board Contractual Allowance,Prescription Drugs Medicare,Prescription Drugs Medicare Contracual Allowance,Prescription Drugs Other,Prescription Drugs Other Contractual Allowance, Medical Supplies Medicare,"Medical Supplies, Medicare Contractual Allowance",Medical Supplies Other,Medical Supplies Other Contractual Allowance,Physical Therapy Medicare,Physical Therapy Medicare Contractual Allowance,Physical Therapy Other,"Physical Therapy, Other Contractual Allowance",Speech Therapy Medicare,"Speech Therapy, Medicare Contractual Allowance",Speech Therapy Other,"Speech Therapy, Other Contractual Allowance",Occupational Therapy Medicare,"Occupational Therapy, Medicare Contractual Allowance",Occupational Therapy Other,"Occupational Therapy, Other Contractual Allowance",Other Medicare,Other Res Rev Other Non Medicare,Total Resident Revenue,Other Rev Meals Sold,Other Rev Rental of Room to NonRes,Other Rev Telephone,Other Rev TV Rental,Other Rev Interest Income,Other Revenue Private Duty Nurses Fees,Other Rev Barber Coffee Beauty and Gift Shops,Other Rev Other,Total Other Rev,Total All Rev,Salaries and Wages Operators Owners $,Salaries and Wages Operators Owners Hrs,Salaries and Wages Administrator $,Salaries and Wages Administrator Hrs,Salaries and Wages Assist Administrator $,Salaries and Wages Assist Administrator Hrs,Salaries and Wages Other Administrator $,Salaries and Wages Other Administrator Hrs,Salaries and Wages Head Dietitian $,Salaries and Wages Head Dietitian Hrs,Salaries and Wages Food Serv Supervisor $,Salaries and Wages Food Serv Supervisor Hrs,Salaries and Wages Dietary Workers $,Salaries and Wages Dietary Workers Hrs,Salaries and Wages Head Housekeeper $,Salaries and Wages Head Housekeeper Hrs,Salaries and Wages Housekeeper Worker $,Salaries and Wages Housekeeper Worker Hrs,Salaries and Wages Engineer $,Salaries and Wages Engineer Hrs,Salaries and Wages Maintenance Worker $,Salaries and Wages Maintenance Worker Hrs,Salaries and Wages Laundry Supervisor $,Salaries and Wages Laundry Supervisor Hrs,Salaries and Wages Laundry Worker $,Salaries and Wages Laundry Worker Hrs,Salaries and Wages Barber $,Salaries and Wages Barber Hrs,Salaries and Wages Protective Services $,Salaries and Wages Protective Services Hrs,Salaries and Wages Head Accountant $,Salaries and Wages Head Accountant Hrs,Salaries and Wages Other Accountant $,Salaries and Wages Other Accountant Hrs,Salaries and Wages Director Nurse $,Salaries and Wages Director Nurse Hrs,Salaries and Wages RN Direct Care $,Salaries and Wages RN Direct Care Hrs,Salaries and Wages RN Admin $,Salaries and Wages RN Admin Hrs,Salaries and Wages LPN Direct Care $,Salaries and Wages LPN Direct Care Hrs,Salaries and Wages LPN Admin $,Salaries and Wages LPN Admin Hrs,Salaries and Wages Aides $,Salaries and Wages Aides Hrs,Salaries and Wages PT $,Salaries and Wages PT Hrs,Salaries and Wages ST $,Salaries and Wages ST Hrs,Salaries and Wages OT $,Salaries and Wages OT Hrs,Salaries and Wages Recreation Worker $,Salaries and Wages Recreation Worker Hrs,Salaries and Wages Med Director $,Salaries and Wages Med Director Hrs,Salaries and Wages Utilization Review $,Salaries and Wages Utilization Review Hrs,Salaries and Wages Res Care $,Salaries and Wages Res Care Hrs,Salaries and Wages Physician $,Salaries and Wages Physician Hrs,Salaries and Wages Dentist $,Salaries and Wages Dentist Hrs,Salaries and Wages Pharmacists $,Salaries and Wages Pharmacists Hrs,Salaries and Wages Podiatrists $,Salaries and Wages Podiatrists Hrs,Salaries and Wages Social Worker Case Mgt $,Salaries and Wages Social Worker Case Mgt Hrs,Salaries and Wages Marketing $,Salaries and Wages Marketing Hrs,Salaries and Wages Other $,Salaries and Wages Other Hrs,Salaries and Wages Other Attached Schedule $,Salaries and Wages Other Attached Schedule Hrs,Total Salary Expenditures $,Total Salary Expenditures Hrs,Dietary Workers,Other Laundry Workers,Other Housekeeping Workers,Aides and Attendants,All Other Wages Paid,Total Wage Paid,Total Salaries Paid,Total Wages and Salaries Paid,Other Resident Revenue Prescription Drugs Medicare B,Other Resident Revenue Prescription Drugs Other D,Medicaid Residents CT Room and Board Contractual Allowance,Medicaid Residents All Other States Room and Board Contractual Allowance,Medicare Residents Room and Board Contractual Allowance,Other Resident Revenue Medicare Medical Supplies B,Other Resident Revenue Other Medical Supplies D,Other Resident Revenue Occupational Therapy B,Other Resident Revenue Occupational Therapy D,Private Pay Residents and Other Room and Board Contractual Allowance,Other Resident RevenuePhysical TherapyMedicare B,Other Resident RevenuePhysical TherapyOther D,Other Resident RevenueSpeech TherapyMedicare B,Other Resident RevenueSpeech TherapyOther D
Aaron Manor Nursing and Rehab. Ctr,CCNH   ,2020,0,0,0,0,0,0,0,0,10644,10644,0,0,72,0,0,0,0,0,0,54678,0,85,54835,100523,14523,92312,0,8244,0,215602,0,103040,8511,20321,131872,0,0,0,0,0,99600,0,64021,6195,301688,0,113594,20266,0,4396,7028,0,5357,0,21955,10195,155515,0,338306,60,60,53,46,2930,9846,0,3130,0,1273,17179,30,14,17223,1780,0,0,7952,9732,167,0,0,500,667,981,0,0,7634,8615,3655880,-1460477,0,0,1406855,435371,2032692,-308428,111536,-111536,25095,0,0,0,170,0,183134,-183134,178329,0,31190,-31190,26839,0,187730,-187730,125815,0,0,77376,6195517,0,0,0,0,673,0,0,482,1155,6196672,0,0,98839,2357,0,0,180265,7944,35404,803,67347,2400,258251,14338,0,0,147821,8896,78089,2079,37715,2059,0,0,0,0,0,0,0,0,0,0,0,0,107458,2143,602043,15117,274487,7600,472444,14875,0,0,838207,38373,234923,5266,26189,459,123719,2869,97627,4123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124008,3856,0,0,5117,336,0,0,3809953,135893,0,0,0,0,0,0,0,0,-111536,0,-1460477,0,435371,0,0,-187730,0,-308428,-183134,0,-31190,0
Abbott Terrace Health Center,CCNH   ,2020,0,0,0,0,0,0,3488,3488,120433,123921,0,0,0,0,0,0,32480,0,0,0,0,14257,46737,202723,82600,149336,83059,23913,91803,633434,0,0,23838,113056,136894,0,19295,139561,0,158856,959524,0,315148,45140,1615562,0,457867,5493,424144,7326,0,34624,26726,0,22527,15670,243121,0,1237498,205,205,205,142,6577,54626,0,679,0,221,62103,259,6,62368,6727,4747,0,8117,19591,1093,534,0,1592,3219,8826,5400,0,9418,23644,32871466,-19900793,0,0,2576502,54612,1828970,-357432,186998,-186998,138925,-138925,0,0,0,0,659445,-486061,412350,-412350,238520,-180275,117790,-117790,857171,-616908,454970,-454970,0,804989,18350206,0,0,0,0,121870,0,0,109336,231206,18581412,0,0,145097,2082,32212,692,385707,14669,82586,1951,81915,2004,678146,34504,87009,2326,534625,30621,63709,1895,86053,3634,0,0,256172,13958,0,0,155671,8078,0,0,0,0,243589,3919,557615,10717,675599,22304,2463568,73107,0,0,3074262,172771,624547,15700,112199,2072,465611,10077,300393,10816,23077,0,0,0,0,0,0,0,0,0,0,0,0,0,226128,7800,0,0,0,0,0,0,11355490,445697,0,0,0,0,0,0,0,0,-186998,-138925,-19900793,0,54612,0,0,-616908,-454970,-357432,-486061,-412350,-180275,-117790
ABD-Beckerle Dr. Group Home,ICF-IID,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609,0,0,1609,11794,0,11938,234,376,10336,34678,0,16000,0,628,16628,0,0,0,0,0,0,0,0,0,16628,0,0,4462,0,0,0,0,0,0,0,4523,38196,0,47181,6,6,6,6,0,2167,0,0,0,0,2167,16,0,2183,0,13,0,0,13,0,34,0,0,34,0,47,0,0,47,984644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984644,0,0,0,0,0,0,0,0,0,984644,0,0,0,0,0,0,25447,591,0,0,0,0,0,0,0,0,0,0,0,0,12501,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314777,16838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182675,6986,0,0,535400,24859,0,0,0,314777,148830,463607,71793,535400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABD-Deer Hill Dr.,ICF-IID,2020,414,0,0,0,0,39,0,39,0,453,414,0,0,0,0,0,0,0,0,0,0,0,0,10441,0,9668,578,376,7070,28133,0,18646,0,10791,29437,0,0,0,0,0,0,0,0,0,29437,0,0,14682,0,0,0,0,0,0,0,5191,32143,0,52016,6,6,6,6,0,2184,0,0,0,0,2184,0,0,2184,0,17,0,0,17,0,30,0,0,30,0,94,0,0,94,1136979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136979,0,0,0,0,0,0,0,0,0,1136979,0,0,0,0,0,0,39366,915,0,0,0,0,0,0,0,0,0,0,0,0,6733,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100761,2269,0,0,410202,20458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146841,4218,0,0,703903,28099,0,0,0,510963,106444,617407,86495,703902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABD-Dodgingtown Rd.,ICF-IID,2020,2440,0,0,0,0,671,0,671,0,3111,2440,0,0,0,0,0,0,0,0,3336,0,0,3336,8488,0,6249,0,376,7744,22857,0,1156,0,12152,13308,0,0,0,0,0,0,7156,0,0,20464,0,0,15451,0,0,0,0,0,0,0,3473,11868,0,30792,6,6,6,6,0,1931,0,32,0,0,1963,114,0,2077,0,37,0,0,37,0,27,0,0,27,0,180,0,0,180,1138343,0,0,0,0,0,34662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173005,0,0,0,0,0,0,0,35423,35423,1208428,0,0,0,0,0,0,41996,976,0,0,0,0,0,0,0,0,0,0,0,0,22236,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221168,6563,0,0,332851,18906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190429,6316,0,0,808680,33550,0,0,0,554019,161754,715773,92906,808679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABD-Dorset,ICF-IID,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14703,0,0,14703,7216,0,8745,0,376,13076,29413,0,37194,0,28,37222,0,0,0,0,0,0,0,0,0,37222,0,0,9735,0,0,0,0,0,0,0,3424,10314,0,23473,6,6,6,6,0,2193,0,0,0,0,2193,3,0,2196,0,32,0,0,32,0,21,0,0,21,0,53,0,0,53,1041536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041536,0,0,0,0,0,0,0,1952,1952,1043488,0,0,0,0,0,0,28682,666,0,0,0,0,0,0,0,0,0,0,0,0,5717,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338870,20497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195133,7063,0,0,568402,28429,0,0,0,338870,139043,477913,90489,568402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABD-Greenview Rd.,ICF-IID,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9179,0,0,9179,1369,0,6098,1674,376,7823,17340,0,4227,0,0,4227,0,0,0,0,0,0,0,0,0,4227,0,0,3006,0,0,0,0,0,0,0,3065,6864,0,12935,4,4,4,4,0,1293,0,0,0,0,1293,171,0,1464,0,7,0,0,7,0,24,0,0,24,0,9,0,0,9,712189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712189,0,0,0,0,0,0,0,0,0,712189,0,0,0,0,0,0,22139,514,0,0,0,0,0,0,0,0,0,0,0,0,7405,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274387,15942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108788,3673,0,0,412719,20392,0,0,0,274387,80758,355145,57575,412720,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABD-Lanesville Rd.,ICF-IID,2020,2588,0,0,0,0,1047,0,1047,0,3635,2588,0,0,0,0,0,0,0,0,12931,0,0,12931,5850,0,8578,1008,376,8541,24353,0,5445,0,6049,11494,0,0,0,0,0,0,0,0,0,11494,0,0,6034,0,0,0,0,0,0,0,4716,8994,0,19744,5,5,5,5,0,1810,0,0,0,0,1810,19,0,1829,0,7,0,0,7,0,21,0,0,21,0,9,0,0,9,1005044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005044,0,0,0,0,0,0,0,0,0,1005044,0,0,0,0,0,0,37214,865,0,0,0,0,0,0,0,0,0,0,0,0,7709,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496637,28088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130790,4009,0,0,672350,33236,0,0,0,496637,97674,594311,78040,672351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABD-Longmeadow,ICF-IID,2020,0,0,0,0,0,1242,0,1242,0,1242,0,0,0,0,0,0,0,0,0,17076,0,0,17076,11352,0,7686,0,376,8771,28185,0,14753,0,4798,19551,0,0,0,0,0,0,0,0,0,19551,0,0,4176,0,0,0,0,0,0,0,3684,4741,0,12601,6,6,6,6,0,2165,0,0,0,0,2165,31,0,2196,0,7,0,0,7,0,15,0,0,15,0,13,0,0,13,1059983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059983,0,0,0,0,0,0,0,0,0,1059983,0,0,0,0,0,0,35312,821,0,0,0,0,0,0,0,0,0,0,0,0,11387,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,10,0,0,436977,26118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157955,5235,0,0,641779,32588,0,0,0,437124,108690,545814,95964,641778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABD-Maple Ave.,ICF-IID,2020,2609,0,0,0,0,0,0,0,0,2609,2609,0,0,0,0,0,0,0,0,9243,0,0,9243,6589,0,10721,1453,87,15192,34042,0,15630,0,3756,19386,0,0,0,0,0,0,7527,0,0,26913,0,0,5553,0,0,0,0,0,0,0,8499,27338,0,41390,6,6,6,6,0,2137,0,0,0,0,2137,25,0,2162,0,32,0,0,32,0,20,0,0,20,0,96,0,0,96,902354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902354,0,0,0,0,0,0,0,42465,42465,944819,0,0,0,0,0,0,21981,511,0,0,0,0,0,0,0,0,0,0,0,0,10395,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259410,14368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202428,7769,0,0,494214,23017,0,0,0,259410,167096,426506,67707,494213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
